SERIE A,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Miguel Kazan,Recife-PE,,,,,,,,,,,
Joel - PE,12.833,13.105,0,0,0,0,272,"2,12%",-12.833,"-100,00%",,,
Mikael - PE,11.698,11.718,0,0,0,0,20,"0,17%",-11.698,"-100,00%",,,
Ricardo - PB,9.354,9.444,0,0,0,0,90,"0,96%",-9.354,"-100,00%",,,
Brasil de Cima,8.599,8.717,0,0,0,0,118,"1,37%",-8.599,"-100,00%",,,
Mayara - RN,8.063,8.105,0,0,0,0,42,"0,52%",-8.063,"-100,00%",,,
Fábio - RN,7.797,8.010,0,0,0,0,213,"2,73%",-7.797,"-100,00%",,,
Nadson - PA,8.778,8.923,0,0,0,0,145,"1,65%",-8.778,"-100,00%",,,
Total,362.941,367.979,0,0,0,0,5.038,"1,39%",-362.941,"-100,00%",,,
,,,,,,,,,,,,,
SERIE B,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Ciro,ciromtpe,Pernambuco,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,413,438,,,,,25,"6,05%",-413,"-100,00%",,,https://www.instagram.com/ciromtpe/
TikTok,134,146,,,,,12,"8,96%",-134,"-100,00%",,,https://www.tiktok.com/@ciromtpe
X,420,418,,,,,-2,"-0,48%",-420,"-100,00%",,,https://x.com/ciromtpe
Youtube,68,68,,,,,0,"0,00%",-68,"-100,00%",,,https://www.youtube.com/@ciromtpe
Kawai,95,101,,,,,6,"6,32%",-95,"-100,00%",,,https://www.kwai.com/@ciromtpe
Total,1.130,1.171,0,0,0,0,41,"3,63%",-1.130,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Wellignton,,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,2.043,2.097,,,,,54,"2,64%",-2.043,"-100,00%",,,https://www.instagram.com/wellingtonpe_ofc/
